time_sec,n1,n2,n3
467.188,-0.370,-0.150,-0.640
467.969,-0.350,0.010,-0.420
468.750,0.090,-0.130,-0.240
469.531,0.520,-0.800,0.120
470.312,0.220,-1.160,-0.080
471.094,-0.680,-0.470,-0.340
471.875,-0.190,0.470,-0.390
472.656,0.050,0.840,-0.570
473.438,0.520,0.740,-0.510
474.219,0.590,0.130,-0.070
475.000,0.120,-0.220,0.540
475.781,-0.040,-0.230,0.600
476.562,-0.250,-0.020,0.440
477.344,-0.160,0.020,0.350
478.125,-0.360,0.150,0.340
478.906,-0.090,0.300,0.170
479.688,0.070,0.030,-0.240
480.469,-0.260,-0.170,-0.120
481.250,-0.270,0.060,0.100
482.031,0.000,0.230,-0.200
482.812,0.130,0.230,-0.160
483.594,0.290,0.220,0.050
484.375,0.190,0.060,0.110
485.156,0.130,0.020,0.170
485.938,0.140,-0.020,0.190
486.719,-0.160,0.190,0.220
487.500,-0.110,0.460,0.320
488.281,0.430,0.060,0.240
489.062,0.210,-0.520,0.090
489.844,-0.450,-0.350,-0.080
490.625,-0.640,0.110,-0.090
491.406,-0.030,0.170,-0.150
492.188,0.090,-0.090,-0.420
492.969,-0.270,-0.130,-0.110
493.750,-0.050,-0.050,0.310
494.531,0.600,-0.060,0.400
495.312,1.040,-0.400,-0.270
496.094,0.500,-0.810,-0.530
496.875,-0.190,-0.600,-0.210
497.656,-0.710,-0.300,0.010
498.438,-0.890,0.110,0.090
499.219,-0.500,0.480,-0.110
500.000,-0.040,0.300,-0.300
500.781,-0.170,0.310,-0.490
501.562,0.280,0.320,-0.450
502.344,0.300,0.190,-0.100
503.125,0.490,0.380,0.530
503.906,0.980,0.150,0.570
504.688,0.480,-0.180,0.550
505.469,-0.070,-0.290,0.470
506.250,-0.710,0.020,0.390
507.031,-0.400,0.380,0.430
507.812,-0.230,0.080,-0.090
508.594,-0.610,-0.220,-0.400
509.375,-0.890,0.320,-0.910
510.156,-0.310,0.870,-1.140
510.938,0.720,0.400,-0.890
511.719,0.890,-0.400,-0.430
512.500,0.550,-0.950,0.270
513.281,0.040,-0.730,0.640
514.062,0.050,-0.260,0.640
514.844,0.150,-0.200,0.740
515.625,0.240,-0.310,0.790
516.406,-0.060,-0.450,0.210
517.188,-0.520,0.000,-0.270
517.969,-0.360,0.390,-0.300
518.750,-0.380,0.370,0.100
519.531,-0.220,0.510,0.370
520.312,0.050,0.500,0.300
521.094,0.310,0.240,0.030
521.875,0.290,-0.090,-0.390
522.656,0.350,-0.230,-0.280
523.438,0.300,-0.440,0.110
524.219,-0.060,-0.310,0.310
525.000,-0.060,-0.260,0.220
525.781,-0.730,-0.060,0.150
526.562,-0.690,0.520,0.030
527.344,-0.250,0.670,-0.680
528.125,-0.210,0.650,-0.910
528.906,0.460,0.450,-0.690
529.688,0.830,-0.080,-0.180
530.469,0.990,-0.550,0.050
531.250,0.810,-0.690,-0.030
532.031,0.040,-0.310,0.370
532.812,-0.150,-0.030,0.590
533.594,-0.620,-0.350,0.630
534.375,-1.450,0.150,0.280
